"symbol","currency","bid","ask"," latest_trade","n_trades","high","close","previous_close","volume","currency_volume"
"anxhkCNY","CNY",2430,2578.24622,,,,1553.73989,,0,0
"anxhkNZD","NZD",555.72253,588.51416,,,,371.2863,,0,0
"weexUSD","USD",395,,,,,395,,0,0
"chbtcCNY","CNY",27028.19,28000,,,,27197,,0,0
"bitsoMXN","MXN",187000.99,188000,,,,5200,,0,0
"btctradeCNY","CNY",22020.1,22199,,,,24821,,0,0
"jubiCNY","CNY",27150,27599,,,,27599,,0,0
"lybitCAD","CAD",,,,,,104.97,,0,0
"justXRP","XRP",25000,74998,,,,64001,,0,0
"bitmarketGBP","GBP",,,,,,5.5,,0,0
